step,problem_id,pred,label,n_icl,correct,cumulative_regret,mem_size
76,76,Big 12 Conference,Big 12,3,0,35.0000,43
77,77,Rockstar Games,Rockstar San Diego,3,0,36.0000,43
78,78,Syd Barrett,"Gregory John ""Greg"" Puciato",3,0,37.0000,43
79,79,New York City,yes,3,0,38.0000,43
80,80,No,no,3,1,38.0000,44
81,81,Clarence River,Richmond,3,0,39.0000,44
82,82,"26,000 people","about 26,000.",3,0,40.0000,44
83,83,Ian Watkins,Lostprophets disbanded in 2013 after Watkins was charged with sexual offences in late 2012.,3,0,41.0000,44
84,84,Augustus,Caligula,3,0,42.0000,44
85,85,Thomas Friedman,Thomas Loren Friedman,3,0,43.0000,44
86,86,The Drop-In,Comedy Film Nerds,3,0,44.0000,44
87,87,John D Rockefeller,John D Rockefeller's Standard Oil Company,3,0,45.0000,44
88,88,Hip hop artist,"professional wrestler, actor, and hip hop musician",3,0,46.0000,44
89,89,Orange County,Orange County,3,1,46.0000,45
90,90,"June 11, 1986","June 11, 1986",3,1,46.0000,48
91,91,Chicago Bears,the Bears,3,0,47.0000,48
92,92,"February 20, 1978","February 20, 1978",3,1,47.0000,49
93,93,Queen In-hyun's Man,Queen In-hyun's Man,3,1,47.0000,50
94,94,2009,2009,3,1,47.0000,51
95,95,University of Maryland University College,"Prince George's County, Maryland",3,0,48.0000,51
96,96,Red Dead Redemption,Red Dead Redemption,3,1,48.0000,52
97,97,Love Streams,Love Streams,3,1,48.0000,53
98,98,Peer,Peer,3,1,48.0000,54
99,99,Pirates of the Caribbean,Constantine,3,0,49.0000,54
100,100,Hacking Democracy,The Memory of Justice,3,0,50.0000,54
101,101,Fife,"St Andrews, Fife, Scotland",3,0,51.0000,54
102,102,Nicktoon Blast,Ghostbusters Spooktacular,3,0,52.0000,54
103,103,BC Dzūkija,BC Dzūkija,3,1,52.0000,55
104,104,Chicago,Germany,3,0,53.0000,55
105,105,Jennifer Aniston,Jennifer Aniston,3,1,53.0000,56
106,106,New York City,"New York City, New York",3,0,54.0000,56
107,107,Yes,yes,3,1,54.0000,57
108,108,Renaissance Technologies,Renaissance Technologies,3,1,54.0000,58
109,109,Melbourne,Melbourne,3,1,54.0000,59
110,110,1953,1953,3,1,54.0000,60
111,111,Girls aged 11 to 18,girls aged 11 to 18,3,1,54.0000,61
112,112,Henry J. Kaiser,Henry J. Kaiser,3,1,54.0000,62
113,113,Denmark,Prince of Denmark,3,0,55.0000,62
114,114,Saul Metzstein,"Douglas Eric ""Doug"" Liman",3,0,56.0000,62
115,115,Yes,yes,3,1,56.0000,63
116,116,Yes,yes,3,1,56.0000,64
117,117,Yes,no,3,0,57.0000,64
118,118,Sacred Planet,Sacred Planet,3,1,57.0000,65
119,119,French,no,3,0,58.0000,65
120,120,"Brooklyn, New York","Brooklyn, New York",3,1,58.0000,68
121,121,The Chamber,The Chamber,3,1,58.0000,69
122,122,T-6 Texan,North American Aviation T-6 Texan,3,0,59.0000,69
123,123,Arthur Conan Doyle,Arthur Ignatius Conan Doyle,3,0,60.0000,69
124,124,No,no,3,1,60.0000,70
125,125,Shortest player ever to play in the National Basketball Association,shortest player ever to play in the National Basketball Association,3,1,60.0000,71
126,126,English,English-language,3,0,61.0000,71
127,127,87 parish churches,87,3,0,62.0000,71
128,128,Battle of Belleau Wood,The Battle of Belleau Wood,3,1,62.0000,72
129,129,St James's Palace,Mark Masons' Hall,3,0,63.0000,72
130,130,Mondelez International,"Mondelez International, Inc.",3,0,64.0000,74
131,131,Filmmaker,director,3,0,65.0000,74
132,132,Coca-Cola FEMSA,Fomento Económico Mexicano,3,0,66.0000,74
133,133,American,American,3,1,66.0000,75
134,134,Delaware River,Delaware River,3,1,66.0000,76
135,135,Stanley Krammer,Kramer's caddy Stan,3,0,67.0000,76
136,136,Yes,no,3,0,68.0000,76
137,137,"37,776","37,776",3,1,68.0000,77
138,138,Nusretiye Mosque,Nusretiye Mosque,3,1,68.0000,78
139,139,Football League Championship,Championship,3,0,69.0000,78
140,140,February,February,3,1,69.0000,81
141,141,East Lancashire Railway,East Lancashire Railway,3,1,69.0000,82
142,142,mountain ranges,mountain ranges,3,1,69.0000,83
143,143,2002,"(foaled February 1, 1999)",3,0,70.0000,83
144,144,The Secret World,massively multiplayer online role-playing video game,3,0,71.0000,83
145,145,50 best cities to live in.,50 best cities to live in,3,1,71.0000,84
146,146,Saoirse Ronan,Saoirse Ronan,3,1,71.0000,85
147,147,Segues,extensive use of segues,3,0,72.0000,85
148,148,Hong Kong,Hong Kong,3,1,72.0000,86
149,149,Yes,yes,3,1,72.0000,87
150,150,Lewis lamp,Argand lamp,3,0,73.0000,87
151,151,15,15,3,1,73.0000,88
152,152,"March 14, 2000",2000,3,0,74.0000,88
153,153,1952,1952,3,1,74.0000,89
154,154,20 October 1980,20 October 1980,3,1,74.0000,90
155,155,"Indianapolis, Indiana, USA","Indianapolis, Indiana",3,0,75.0000,90
156,156,Lotion play,video game,3,0,76.0000,90
157,157,Yes,yes,3,1,76.0000,91
158,158,Yes,yes,3,1,76.0000,92
159,159,late 12th Century,the late 12th Century,3,1,76.0000,93
160,160,King David I,King George IV,3,0,77.0000,94
161,161,Darkwing Duck,Sonic,3,0,78.0000,94
162,162,Lemon juice,no,3,0,79.0000,94
163,163,"Tyler County, West Virginia","located in Olathe, Kansas",3,0,80.0000,94
164,164,Tron,Tron,3,1,80.0000,95
165,165,Los Angeles,Los Angeles,3,1,80.0000,96
166,166,56 people,32 people,3,0,81.0000,96
167,167,three centuries,three centuries,3,1,81.0000,97
168,168,Executive search,"Executive Search, Board Consulting",3,0,82.0000,97
169,169,No,no,3,1,82.0000,98
170,170,2000,2000,3,1,82.0000,99
171,171,1999,1999,3,1,82.0000,100
172,172,Youtoo America,WB Television Network,3,0,83.0000,100
173,173,LaLee's Kin: The Legacy of Cotton,LaLee's Kin: The Legacy of Cotton,3,1,83.0000,101
174,174,Wildwood,Wildwood,3,1,83.0000,102
175,175,Tennis,tennis,3,1,83.0000,103
176,176,UFC 50,The War of '04,3,0,84.0000,103
177,177,The Agronomist,The Agronomist,3,1,84.0000,104
178,178,575 acres,575 acres (2.08 km²),3,0,85.0000,104
179,179,No,no,3,1,85.0000,105
180,180,Knowsley United Women,Knowsley United Women,3,1,85.0000,106
181,181,Gary Johnson,Gary Earl Johnson,3,0,86.0000,106
182,182,Historically has been important to the defence of the Cathedral Close.,defence of the Cathedral,3,0,87.0000,106
183,183,Malta,Malta,3,1,87.0000,107
184,184,Bay of Fundy,Bay of Fundy,3,1,87.0000,108
185,185,Amanda Wyss,"Wesley ""Wes"" Studi",3,0,88.0000,108
186,186,German,German,3,1,88.0000,109
187,187,Venice,Venice,3,1,88.0000,110
188,188,Wolf Alice,Badly Drawn Boy,3,0,89.0000,110
189,189,Johnson Press,Johnson Press,3,1,89.0000,111
190,190,Carabao Cup,Carabao Cup,3,1,89.0000,112
191,191,First and only U.S. born world grand prix champion,American-born,3,0,90.0000,112
192,192,Pietro Badoglio,Marshal Pietro Badoglio,3,0,91.0000,112
193,193,Dave Thomas,Dave Thomas,3,1,91.0000,113
194,194,The Wachowskis,The Wachowskis,3,1,91.0000,114
195,195,Indianapolis,Indianapolis,3,1,91.0000,115
196,196,1989,1989,3,1,91.0000,116
197,197,Sarah Newlin,Aubrey Posen,3,0,92.0000,116
198,198,Preston,Preston,3,1,92.0000,117
199,199,And God Stepped Aside,Julius Caesar,3,0,93.0000,117
200,200,First freshman,first freshman to finish as the runner-up,3,0,94.0000,118
201,201,Eucritta melanolimnetes,Eucritta melanolimnetes,3,1,94.0000,119
202,202,Baltimore,Baltimore,3,1,94.0000,120
203,203,Arrowhead Stadium,Arrowhead Stadium,3,1,94.0000,121
204,204,Eleventh,third,3,0,95.0000,121
205,205,Levi Weeks,Levi Weeks,3,1,95.0000,122
206,206,Honda Vigor,Honda Ballade,3,0,96.0000,122
207,207,Madrid,the autonomous community of Madrid,3,0,97.0000,122
208,208,Mandalay Entertainment,Mandalay Entertainment,3,1,97.0000,123
209,209,Third season,third,3,0,98.0000,123
210,210,Love Drunk,Love Drunk,3,1,98.0000,126
211,211,Leslie Knope,Leslie Knope,3,1,98.0000,127
212,212,Catholic Church in Ireland,The Catholic Church in Ireland,3,1,98.0000,128
213,213,1961,1961,3,1,98.0000,129
214,214,Punjabi/Pashtun descent,Punjabi/Pashtun,3,0,99.0000,129
215,215,Still Kicking: Six Artistic Women of Project Arts & Longevity,Still Kicking: Six Artistic Women of Project Arts & Longevity,3,1,99.0000,130
216,216,Fortnightly,fortnightly,3,1,99.0000,131
217,217,Belladonna,Belladonna,3,1,99.0000,132
218,218,Fashion model,fashion model,3,1,99.0000,133
219,219,1966,1966,3,1,99.0000,134
220,220,The Futureheads,The Futureheads,3,1,99.0000,136
221,221,Lord's Resistance Movement,United Holy Salvation Army and Uganda Christian Army/Movement,3,0,100.0000,136
222,222,Dirty Pretty Things,Dirty Pretty Things,3,1,100.0000,137
223,223,Ethiopian sovereignty,sovereignty,3,0,101.0000,137
224,224,Pirate's Cove,Pirate's Cove,3,1,101.0000,138
225,225,Bayern Munich,Bayern Munich,3,1,101.0000,139
226,226,Agent Carter,Agent Carter,3,1,101.0000,140
227,227,"Dayton, Ohio",First Street,3,0,102.0000,140
228,228,Santa Monica,"Santa Monica, California",3,0,103.0000,140
229,229,John Whiting,Peter Hall,3,0,104.0000,140
230,230,Scotland,Scotland,3,1,104.0000,142
231,231,1945 to 1969,from 1986 to 2013,3,0,105.0000,142
232,232,Australian,Australian actor and film producer,3,0,106.0000,142
233,233,XII,Final Fantasy XII,3,0,107.0000,142
234,234,"Katharine Hepburn, Joan Bennett, Frances Dee, Jean Parker","Katharine Hepburn, Joan Bennett, Frances Dee",3,0,108.0000,142
235,235,Beijing,Beijing,3,1,108.0000,143
236,236,No,no,3,1,108.0000,144
237,237,Arthur Russell,Arthur Russell,3,1,108.0000,145
238,238,Wes Archer,Wes Archer,3,1,108.0000,146
239,239,Ector County,Ector County,3,1,108.0000,147
240,240,Herbert Ross,Herbert Ross,3,1,108.0000,148
241,241,United Kingdom,the Netherlands,3,0,109.0000,148
242,242,Starlite,Starlite,3,1,109.0000,149
243,243,Francisco Rafael Arellano Félix,Francisco Rafael Arellano Félix,3,1,109.0000,150
244,244,Linguistic analysis by modern scholars,linguistic analysis,3,0,110.0000,150
245,245,Monthly,The New York Enterprise Report,3,0,111.0000,150
246,246,Forum,Organizations could come together to address global issues,3,0,112.0000,150
247,247,Teach the Controversy,"""Teach the Controversy"" campaign",3,0,113.0000,150
248,248,City of Newcastle,City of Newcastle,3,1,113.0000,151
249,249,Waimea Bay,Waimea Bay,3,1,113.0000,152
250,250,"Boulder, Colorado",Boulder High School,3,0,114.0000,152
251,251,PricewaterhouseCoopers,Ernst & Young,3,0,115.0000,152
252,252,Eileen Atkins,Dame Eileen June Atkins,3,0,116.0000,152
253,253,TX-2 Tape System,8-track,3,0,117.0000,152
254,254,Film director,screenwriter,3,0,118.0000,152
255,255,Play-by-post role-playing game,play-by-post role-playing game,3,1,118.0000,153
256,256,Seventeen siblings,nine girls and 10 boys,3,0,119.0000,153
257,257,John Waters,John Waters,3,1,119.0000,154
258,258,Southaven,"Southaven, Mississippi",3,0,120.0000,154
259,259,Mark Neveldine and Brian Taylor,Mark Neveldine and Brian Taylor,3,1,120.0000,155
260,260,Esteban Ocon,Esteban Ocon,3,1,120.0000,156
261,261,most important political centre of Vietnam,Viet Minh's base,3,0,121.0000,156
262,262,Saint Louis County,Saint Louis County,3,1,121.0000,157
263,263,Orono,Orono,3,1,121.0000,158
264,264,Syracuse University,Syracuse University.,3,1,121.0000,159
265,265,Dusty Dvoracek,Dusty Dvoracek,3,1,121.0000,160
266,266,Andrew Preston,James Taylor,3,0,122.0000,160
267,267,Rome,Rome,3,1,122.0000,161
268,268,Matt Flynn,Matt Flynn,3,1,122.0000,162
269,269,John Schneider,Tim Allen,3,0,123.0000,162
270,270,Lisa Raymond,Liezel Huber,3,0,124.0000,162
271,271,Battleground,"""Talk That Talk""",3,0,125.0000,162
272,272,Mezzanine,Mezzanine,3,1,125.0000,163
273,273,Supervisor of the royal works,supervisor of the royal works,3,1,125.0000,164
274,274,Saturday Night Live,"""The Wonder Years""",3,0,126.0000,164
275,275,Michael Swango,Michael Swango,3,1,126.0000,165
276,276,Bolton,Bolton,3,1,126.0000,166
277,277,Tumwater,"Tumwater, Washington",3,0,127.0000,166
278,278,Tokyo International Airport,Osaka International Airport,3,0,128.0000,166
279,279,Myrtus,Eustoma,3,0,129.0000,166
280,280,Twin Pines/Lone Pine Mall,Twin Pines/Lone Pine Mall,3,1,129.0000,167
281,281,Sean,Sean,3,1,129.0000,168
282,282,2017 Premier League Darts,2018 Unibet Premier League Darts,3,0,130.0000,168
283,283,Yes,no,3,0,131.0000,168
284,284,Apalachee,Apalachee,3,1,131.0000,169
285,285,Howard Fast,Howard Melvin Fast,3,0,132.0000,169
286,286,Edmonton,Hanna,3,0,133.0000,169
287,287,Jay Van Andel,Jay Van Andel,3,1,133.0000,170
288,288,Oklahoma,"Coahuila, Mexico",3,0,134.0000,170
289,289,PBS stations nationwide,aired on PBS stations,3,0,135.0000,170
290,290,Lush,Lush Ltd.,3,0,136.0000,170
291,291,The Boatniks,"The Boatniks is a 1970 American comedy film starring Robert Morse, Stefanie Powers, Don Ameche and Phil Silvers.",3,0,137.0000,170
292,292,The Beatles,The Beatles,3,1,137.0000,171
293,293,Keith Bostic,Keith Bostic,3,1,137.0000,172
294,294,No,no,3,1,137.0000,173
295,295,Country Thuggin,Country Thuggin,3,1,137.0000,174
296,296,International Boxing Hall of Fame,International Boxing Hall of Fame,3,1,137.0000,175
297,297,Kimmy Schmidt,"Kimberly Couger ""Kimmy"" Schmidt",3,0,138.0000,175
298,298,1992,1992,3,1,138.0000,176
299,299,"United States presidential election, 2016",United States presidential election of 2016,3,0,139.0000,176
300,300,Dubai International Cricket Stadium,Dubai International Stadium,3,0,140.0000,176
301,301,Theo Walcott,Theo James Walcott,3,0,141.0000,176
302,302,"Design, development, manufacture and sale of vehicles bearing the Jaguar and Land Rover (including Range Rover) marques.","design, development, manufacture",3,0,142.0000,176
303,303,Jillian Belk,Jillian Belk,3,1,142.0000,177
304,304,American,American,3,1,142.0000,178
305,305,"Baa, Baa, Black Sheep","""Baa, Baa, Black Sheep""",3,1,142.0000,179
306,306,Yes,yes,3,1,142.0000,180
307,307,Ais,Apalachees,3,0,143.0000,180
308,308,Dallas Cowboys,Dallas Cowboys,3,1,143.0000,181
309,309,Eric Bana,Eric Banadinović,3,0,144.0000,181
310,310,duchy of Saxe-Coburg and Gotha,Ernestine,3,0,145.0000,181
311,311,"income tax, social security contributions, corporate tax","""personal earnings"" (such as salary and wages), ""business income"" and ""capital gains""",3,0,146.0000,181
312,312,French Open,French Open,3,1,146.0000,182
313,313,19th century,nineteenth,3,0,147.0000,182
314,314,2027 Fairmount Avenue between Corinthian Avenue and North 22nd Street in the Fairmount section of the city,2027 Fairmount Avenue,3,0,148.0000,182
315,315,Las Vegas,Clark County,3,0,149.0000,182
316,316,Samoa,Samoa,3,1,149.0000,183
317,317,Minneapolis,"Golden Valley, Minnesota,",3,0,150.0000,183
318,318,Russian Empire,Russian Empire,3,1,150.0000,184
319,319,Beatty,Beatty,3,1,150.0000,185
320,320,Krzysztof Zanussi,Krzysztof Zanussi,3,1,150.0000,187
321,321,Point of Entry,Point of Entry,3,1,150.0000,188
322,322,David Dobkin,David Dobkin,3,1,150.0000,189
323,323,Right-hand,right-hand,3,1,150.0000,190
324,324,Mickey Gilley,Mickey Gilley,3,1,150.0000,191
325,325,Writer,poet,3,0,151.0000,191
326,326,Blonde Redhead,Blonde Redhead,3,1,151.0000,192
327,327,Mitsubishi Motors,Mitsubishi,3,0,152.0000,192
328,328,Gallery,"arose on the ""Playboy"" magazine pattern in the 1970s.",3,0,153.0000,192
329,329,5,5,3,1,153.0000,193
330,330,Trenton–Mercer Airport,Trenton–Mercer Airport,3,1,153.0000,195
331,331,21 years and 154 days,21 years and 154 days,3,1,153.0000,196
332,332,Glam metal,Glam metal,3,1,153.0000,197
333,333,Kohlberg Kravis Roberts,KKR & Co,3,0,154.0000,197
334,334,J. G. Farrell,Farrell,3,0,155.0000,197
335,335,Blake Shelton,Blake Shelton,3,1,155.0000,198
336,336,"Subjective criteria include its status as the world's first multi-purpose, domed sports stadium and its impact on Houston's identity.",comparable to the seven Wonders of the World,3,0,156.0000,198
337,337,The Crowned Prince of the Philadelphia Mob,The Crowned Prince of the Philadelphia Mob,3,1,156.0000,199
338,338,"Gardnerville, Nevada",Gardnerville,3,0,157.0000,199
339,339,Debbie Harry,Debbie Harry,3,1,157.0000,200
340,340,Oryzomyini,Oryzomyini,3,1,157.0000,201
341,341,people working in film and the performing arts,people working in film and the performing arts,3,1,157.0000,202
342,342,Istanbul,"Istanbul, Turkey",3,0,158.0000,202
343,343,four months in jail,four months in jail,3,1,158.0000,203
344,344,Teriade,Teriade,3,1,158.0000,204
345,345,Ephedrine,Ephedrine,3,1,158.0000,205
346,346,Holston River Valley,Holston River,3,0,159.0000,205
347,347,1926,1926,3,1,159.0000,206
348,348,Jamaica,Ghana,3,0,160.0000,206
349,349,Oedipus Rex,Oedipus Rex,3,1,160.0000,207
350,350,No,no,3,1,160.0000,208
351,351,Israeli Ambassador to the United States,Israeli Ambassador,3,0,161.0000,208
352,352,Craig v. Boren,Craig v. Boren,3,1,161.0000,209
353,353,Kansas Song (We’re From Kansas),Kansas Song,3,0,162.0000,209
354,354,Logan International Airport,Logan International Airport,3,1,162.0000,210
355,355,Hey Pa! There's a Goat on the Roof,Hey Pa! There's a Goat on the Roof,3,1,162.0000,211
356,356,China,China,3,1,162.0000,212
357,357,Yes,yes,3,1,162.0000,213
358,358,Bedknobs and Broomsticks,Bedknobs and Broomsticks,3,1,162.0000,214
359,359,Currer Bell,"""Currer Bell""",3,1,162.0000,215
360,360,Mick Jackson,James Burke,3,0,163.0000,215
361,361,Charles Reed Bishop,Charles Reed Bishop,3,1,163.0000,216
362,362,The Korean War,The Western Allied invasion of Germany,3,0,164.0000,216
363,363,Red River and Assiniboine River,Red and Assiniboine Rivers,3,0,165.0000,216
364,364,Scotland,Scotland,3,1,165.0000,217
365,365,Wendell Berry,Wendell Berry,3,1,165.0000,218
366,366,number five,number five,3,1,165.0000,219
367,367,United States,American,3,0,166.0000,219
368,368,Paige O'Hara,Donna Paige Helmintoller,3,0,167.0000,219
369,369,65 mi long,65 mi,3,0,168.0000,219
370,370,Cocktails,cocktails,3,1,168.0000,221
371,371,Manon,Parsifal,3,0,169.0000,221
372,372,"November 23, 1946",23 November 1946,3,0,170.0000,221
373,373,Journalist,Philosophy professor,3,0,171.0000,221
374,374,Geelong Football Club,Geelong Football Club,3,1,171.0000,222
375,375,Weezer,The Blue Album,3,0,172.0000,222
376,376,"728,000 ft² (67,000 m²)","728,000 ft²",3,0,173.0000,222
377,377,Folkets Hus,Folkets,3,0,174.0000,222
378,378,"48,982","48,982",3,1,174.0000,223
379,379,Technical director,technical director,3,1,174.0000,224
380,380,"September 8, 2017","September 8, 2017",3,1,174.0000,225
381,381,Rowan Blanchard,Rowan Blanchard,3,1,174.0000,226
382,382,250 million,250 million,3,1,174.0000,227
383,383,Yes,no,3,0,175.0000,227
384,384,Eminem,Eminem,3,1,175.0000,228
385,385,The Marshall Mathers LP 2,"""The Marshall Mathers LP 2""",3,1,175.0000,229
386,386,Medal of Honor,25,3,0,176.0000,229
387,387,Warsaw,"Warsaw, Poland",3,0,177.0000,229
388,388,1944,1944,3,1,177.0000,230
389,389,No,no,3,1,177.0000,231
390,390,Umina Beach,"Umina Beach, New South Wales",3,0,178.0000,231
391,391,David Naughton,"David Naughton, Jenny Agutter and Griffin Dunne",3,0,179.0000,231
392,392,Adelaide,"Marion, South Australia",3,0,180.0000,231
393,393,Daviesia,Daviesia,3,1,180.0000,232
394,394,Kansas–Nebraska Act,Kansas–Nebraska Act,3,1,180.0000,233
395,395,GE Appliances,GE Appliances,3,1,180.0000,234
396,396,Lee Hazlewood,Barton Lee Hazlewood,3,0,181.0000,234
397,397,Yes,yes,3,1,181.0000,235
398,398,4,four,3,0,182.0000,235
399,399,country,largest country,3,0,183.0000,235
400,400,Flowering plants,flowering plants,3,1,183.0000,236
401,401,"5,124","5,124 rooms",3,0,184.0000,236
402,402,Campbell Soup Company,The Campbell Soup Company,3,1,184.0000,237
403,403,"Springfield, Massachusetts","city of Springfield, Massachusetts",3,0,185.0000,237
404,404,1961,1961,3,1,185.0000,238
405,405,American football,American football,3,1,185.0000,239
406,406,Producer,director,3,0,186.0000,239
407,407,Vic Chesnutt,Vic Chesnutt,3,1,186.0000,240
408,408,Mirosław Hermaszewski,Ulf Dietrich Merbold,3,0,187.0000,240
409,409,First Family of Competitive Eating,"the ""First Family of Competitive Eating""",3,1,187.0000,241
410,410,Western Europe,Western Europe,3,1,187.0000,242
411,411,Papermaking,papermaking industry,3,0,188.0000,242
412,412,Beaver and Erie Canal,The Beaver and Erie Canal,3,1,188.0000,243
413,413,Zurna,an organ,3,0,189.0000,243
414,414,Battle of Manila,Battle of Guam,3,0,190.0000,243
415,415,Stephen King,Stephen King,3,1,190.0000,244
416,416,Yes,no,3,0,191.0000,244
417,417,"12,272","12,272",3,1,191.0000,245
418,418,500th episode,show's 500th episode,3,0,192.0000,245
419,419,Caesars Palace Grand Prix,Caesars Palace Grand Prix,3,1,192.0000,246
420,420,Pasek and Paul,Pasek & Paul,3,0,193.0000,246
421,421,an album,an album,3,1,193.0000,247
422,422,Yes,yes,3,1,193.0000,248
423,423,Bank of China Tower,Hong Kong,3,0,194.0000,248
424,424,Hawaii House of Representatives,"Robert ""Bobby"" Bunda",3,0,195.0000,248
425,425,World War II,yes,3,0,196.0000,248
426,426,Spam,Spam,3,1,196.0000,249
427,427,DTM,DTM,3,1,196.0000,250
428,428,Jessica Lange,Jessica Lange,3,1,196.0000,251
429,429,"86,112","86,112",3,1,196.0000,252
430,430,Mayfair,Mayfair,3,1,196.0000,253
431,431,Paper Trail,Paper Trail,3,1,196.0000,254
432,432,Russell Humphreys,Russell Humphreys,3,1,196.0000,255
433,433,Yes,yes,3,1,196.0000,256
434,434,Documentary,documentary,3,1,196.0000,257
435,435,Atlanta,North Avenue at Techwood Drive,3,0,197.0000,257
436,436,EN World,EN World web site,3,0,198.0000,257
437,437,Ursula K. Le Guin,Ursula Kroeber Le Guin,3,0,199.0000,257
438,438,Battle of Hürtgen Forest,Battle of Hürtgen Forest,3,1,199.0000,258
439,439,Max Mosley,Max Rufus Mosley,3,0,200.0000,258
440,440,Volta Region,Volta,3,0,201.0000,258
441,441,Private Secretary and Treasurer,Private Secretary and Treasurer,3,1,201.0000,259
442,442,seven,seven,3,1,201.0000,260
443,443,$10.5 million,$10.5 million,3,1,201.0000,261
444,444,No,no,3,1,201.0000,262
445,445,Uncle,second cousin once removed,3,0,202.0000,262
446,446,Kitchens of Distinction,Kitchens of Distinction,3,1,202.0000,263
447,447,Free Range Films,Free Range Films,3,1,202.0000,264
448,448,Autonomous administrative division,the flags,3,0,203.0000,264
